time,bitly-bsky.app,bitly-facebook.com,bitly-instagram.com,bitly-substack.com,tco-bsky.app,tco-facebook.com,tco-instagram.com,tco-substack.com
2023-09-12T09,74,74.2,73.75,75.6,2541,2539.8,2541.75,2539.6
2023-09-12T10,11.6,12.6,12.75,13,2538.8,2539,2538,2536
2023-09-12T11,73.4,73,73.25,74.8,2542.8,2540.8,2545.75,2540
2023-09-12T12,73.2,73.8,74.25,73.6,2540.8,2542.4,2544,2540.2
2023-09-12T13,17,17.6,17,19.4,2541.8,2542.6,2539.5,2539.8
2023-09-12T14,67.2,67.8,67.75,69.2,2559.6,2556.8,2557.25,2558
2023-09-12T15,14.4,14.6,15,15.2,2551.6,2063.6,2584.25,2577.6
2023-09-12T16,74.4,74.8,73.25,75.6,2546,2544.4,2542,2543.2
2023-09-12T17,66.2,67.6,67,66.2,2551.8,2552.2,2554.5,2552.6
2023-09-12T18,51.8,50.4,50.25,50.8,2542.8,2541.2,2541.75,2540.8
2023-09-12T19,16.2,15.4,15.5,20.2,2535,2534.2,2535.25,2532.8
2023-09-12T20,15.8,16.2,16.5,18.2,2532.8,2534.6,2536.5,2536.2
